#Activity: cppTestModels::tyrePump::TyrePump::pumpExtended
#Couenne time_limit = 600 sec
PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns)	PATHSEARCH_TOTAL_SOLVER_RUNS	PATHSEARCH_INFEASIBLE_PATHS_ELIMINATED
10	-1	couenne	2	0	643664383	0	0
20	-1	couenne	2	4	11133940541	5	0
30	-1	couenne	2	18	43346030870	25	2
40	-1	couenne	2	53	10338825899208	110	40
50	-1	couenne	2	117	53342544934114	448	290
60	-1	couenne	2	213	288756878247879	1700	1415
