#Activity: cppTestModels::tyrePump::TyrePump::pumpExtended
#Couenne time_limit = 20 sec
PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns)	PATHSEARCH_TOTAL_SOLVER_RUNS	PATHSEARCH_INFEASIBLE_PATHS_ELIMINATED
0	-1	couenne	2	0	623212233	0	0
10	-1	couenne	2	0	128517171	0	0
20	-1	couenne	2	4	11089656277	5	0
30	-1	couenne	2	18	43620432969	25	2
40	-1	couenne	2	49	664788746897	105	45
50	-1	couenne	2	101	3419791728557	405	277
60	-1	couenne	2	185	13545520907796	1514	1277
