#Activity: AcademicProblems::tyrePump::TyrePump::pumpExtended
#time limit 10
PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns)	PATHSEARCH_TOTAL_SOLVER_RUNS	PATHSEARCH_INFEASIBLE_PATHS_ELIMINATED
30	-1	couenne	2	17	43330336552	24	3
40	-1	couenne	2	46	335275712553	97	43
50	-1	couenne	2	97	1500744615982	369	250
60	-1	couenne	2	178	5966655998233	1372	1150
70	-1	couenne	2	286	19691555849117	4951	4590
