PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns);
50	600	cplex	1	248	43975021407
50	600	cplex	2	248	20018455698
50	600	cplex	3	248	17840390608
50	600	cplex	4	248	22347109758
50	600	cplex	5	248	21622066771
50	600	cplex	6	248	18958155855
50	600	cplex	7	248	17986943033
50	600	cplex	8	248	18805849626
50	600	cplex	9	248	21076982410
