PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns)	PATHSEARCH_TOTAL_SOLVER_RUNS	PATHSEARCH_INFEASIBLE_PATHS_ELIMINATED
0	-1	gecode	2	0	118588545	0	0
10	-1	gecode	2	4	295090092	10	4
20	-1	gecode	2	10	936064974	73	57
30	-1	gecode	2	17	4576592062	410	382
40	-1	gecode	2	25	22860792064	2121	2079
50	-1	gecode	2	33	116954382248	10706	10650
60	-1	gecode	2	41	617124540260	53661	53591
