mutant1, 9009, 0, 0, 1, 0, 0 
mutant2, 201, 1, 0, 0, 0, 0 
mutant3, 201, 1, 0, 0, 0, 0 
mutant4, 201, 1, 0, 0, 0, 0 
mutant5, 201, 1, 0, 0, 0, 0 
mutant6, 9009, 0, 0, 1, 0, 0 
mutant7, 9009, 0, 0, 1, 0, 0 
mutant8, 201, 1, 0, 0, 0, 0 
mutant9, 201, 1, 0, 0, 0, 0 
mutant10, 9009, 0, 0, 1, 0, 0 
mutant11, 201, 1, 0, 0, 0, 0 
mutant12, 9009, 0, 0, 1, 0, 0 
mutant13, 201, 1, 0, 0, 0, 0 
mutant14, 201, 1, 0, 0, 0, 0 
mutant15, 201, 1, 0, 0, 0, 0 
mutant16, 1, 0, 0, 0, 1, 0 
mutant17, 201, 1, 0, 0, 0, 0 
mutant18, 201, 1, 0, 0, 0, 0 
mutant19, 201, 1, 0, 0, 0, 0 
mutant20, 201, 1, 0, 0, 0, 0 
mutant21, 201, 1, 0, 0, 0, 0 
mutant22, 9009, 0, 0, 1, 0, 0 
mutant23, 201, 1, 0, 0, 0, 0 
mutant24, 201, 1, 0, 0, 0, 0 
mutant25, 9009, 0, 0, 1, 0, 0 
mutant26, 9009, 0, 0, 1, 0, 0 
mutant27, 9009, 0, 0, 1, 0, 0 
mutant28, 9009, 0, 0, 1, 0, 0 
mutant29, 201, 1, 0, 0, 0, 0 
mutant30, 9009, 0, 0, 1, 0, 0 
mutant31, 201, 1, 0, 0, 0, 0 
mutant32, 9009, 0, 0, 1, 0, 0 
mutant33, 201, 1, 0, 0, 0, 0 
mutant34, 9009, 0, 0, 1, 0, 0 
mutant35, 201, 1, 0, 0, 0, 0 
mutant36, 201, 1, 0, 0, 0, 0 
mutant37, 201, 1, 0, 0, 0, 0 
mutant38, 201, 1, 0, 0, 0, 0 
mutant39, 201, 1, 0, 0, 0, 0 
mutant40, 201, 1, 0, 0, 0, 0 
mutant41, 201, 1, 0, 0, 0, 0 
mutant42, 201, 1, 0, 0, 0, 0 
mutant43, 9009, 0, 0, 1, 0, 0 
mutant44, 9009, 0, 0, 1, 0, 0 
mutant45, 9009, 0, 0, 1, 0, 0 
mutant46, 201, 1, 0, 0, 0, 0 
mutant47, 9009, 0, 0, 1, 0, 0 
mutant48, 9009, 0, 0, 1, 0, 0 
mutant49, 9009, 0, 0, 1, 0, 0 
mutant50, 9009, 0, 0, 1, 0, 0 
mutant51, 201, 1, 0, 0, 0, 0 
mutant52, 9009, 0, 0, 1, 0, 0 
mutant53, 9009, 0, 0, 1, 0, 0 
mutant54, 201, 1, 0, 0, 0, 0 
mutant55, 201, 1, 0, 0, 0, 0 
mutant56, 201, 1, 0, 0, 0, 0 
mutant57, 201, 1, 0, 0, 0, 0 
mutant58, 201, 1, 0, 0, 0, 0 
mutant59, 9009, 0, 0, 1, 0, 0 
mutant60, 201, 1, 0, 0, 0, 0 
mutant61, 9009, 0, 0, 1, 0, 0 
mutant62, 9009, 0, 0, 1, 0, 0 
mutant63, 201, 1, 0, 0, 0, 0 
mutant64, 9009, 0, 0, 1, 0, 0 
mutant65, 9009, 0, 0, 1, 0, 0 
mutant66, 9009, 0, 0, 1, 0, 0 
mutant67, 9009, 0, 0, 1, 0, 0 
mutant68, 201, 1, 0, 0, 0, 0 
mutant69, 201, 1, 0, 0, 0, 0 
mutant70, 201, 1, 0, 0, 0, 0 
mutant71, 9009, 0, 0, 1, 0, 0 
mutant72, 201, 1, 0, 0, 0, 0 
mutant73, 201, 1, 0, 0, 0, 0 
mutant74, 9009, 0, 0, 1, 0, 0 
mutant75, 9009, 0, 0, 1, 0, 0 
mutant76, 201, 1, 0, 0, 0, 0 
mutant77, 9009, 0, 0, 1, 0, 0 
mutant78, 9009, 0, 0, 1, 0, 0 
mutant79, 9009, 0, 0, 1, 0, 0 
mutant80, 9009, 0, 0, 1, 0, 0 
mutant81, 201, 1, 0, 0, 0, 0 
mutant82, 9009, 0, 0, 1, 0, 0 
mutant83, 201, 1, 0, 0, 0, 0 
mutant84, 201, 1, 0, 0, 0, 0 
mutant85, 9009, 0, 0, 1, 0, 0 
mutant86, 9009, 0, 0, 1, 0, 0 
mutant87, 201, 1, 0, 0, 0, 0 
mutant88, 201, 1, 0, 0, 0, 0 
mutant89, 201, 1, 0, 0, 0, 0 
mutant90, 201, 1, 0, 0, 0, 0 
mutant91, 201, 1, 0, 0, 0, 0 
mutant92, 9009, 0, 0, 1, 0, 0 
mutant93, 9009, 0, 0, 1, 0, 0 
mutant94, 9009, 0, 0, 1, 0, 0 
mutant95, 201, 1, 0, 0, 0, 0 
mutant96, 9009, 0, 0, 1, 0, 0 
mutant97, 1, 0, 0, 0, 1, 0 
mutant98, 201, 1, 0, 0, 0, 0 
mutant99, 201, 1, 0, 0, 0, 0 
mutant100, 9009, 0, 0, 1, 0, 0 
mutant101, 201, 1, 0, 0, 0, 0 
mutant102, 201, 1, 0, 0, 0, 0 
mutant103, 201, 1, 0, 0, 0, 0 
mutant104, 201, 1, 0, 0, 0, 0 
mutant105, 9009, 0, 0, 1, 0, 0 
mutant106, 9009, 0, 0, 1, 0, 0 
mutant107, 201, 1, 0, 0, 0, 0 
mutant108, 201, 1, 0, 0, 0, 0 
mutant109, 201, 1, 0, 0, 0, 0 
mutant110, 201, 1, 0, 0, 0, 0 
mutant111, 9009, 0, 0, 1, 0, 0 
mutant112, 201, 1, 0, 0, 0, 0 
mutant113, 9009, 0, 0, 1, 0, 0 
