PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns)	PATHSEARCH_TOTAL_SOLVER_RUNS	PATHSEARCH_INFEASIBLE_PATHS_ELIMINATED
90	-1	cplex	0	8050	14127602695315	616656	140773
90	-1	cplex	1	10736	6599569961545	460456	264716
90	-1	cplex	2	10736	2294629100906	683101	662404
90	-1	cplex	3	10736	29673149670419	14482672	14465816
90	-1	cplex	4	10736	95639789178513	48736140	48720556
90	-1	cplex	5	10736	185457592495973	97594764	97580776
90	-1	cplex	6	10734	227082388584024	123196236	123182742
