#Activity: AcademicProblems::triangleClassificator::TriangleClassificator::classify
PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns)	PATHSEARCH_TOTAL_SOLVER_RUNS	PATHSEARCH_INFEASIBLE_PATHS_ELIMINATED
40	-1	gecode	2	4	249173786	4	0
40	-1	gecode	3	4	115332068	4	0
40	-1	gecode	4	4	117179210	4	0
40	-1	gecode	5	4	116026623	4	0
40	-1	gecode	6	4	123261265	4	0
40	-1	gecode	7	4	113404035	4	0
40	-1	gecode	8	4	110886229	4	0
40	-1	gecode	9	4	109103252	4	0
