PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns);
40	600	cplex	1	104	17700433435
40	600	cplex	2	104	7300932660
40	600	cplex	3	104	5621371990
40	600	cplex	4	104	5780358119
40	600	cplex	5	104	4389267351
40	600	cplex	6	104	4957547677
40	600	cplex	7	104	5354352578
40	600	cplex	8	104	5629008156
40	600	cplex	9	104	5829979788
40	-1	cplex	10	104	3980181839
