#Activity: PAX_Model_Final::PAX::DetailedDesign::SRC::DAL_C::PAX::IFE Package::PAX_IFEctrl::PAX_setIFE
PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns)	PATHSEARCH_TOTAL_SOLVER_RUNS	PATHSEARCH_INFEASIBLE_PATHS_ELIMINATED
80	-1	cplex	2	4208	504052453874	161929	154348
80	-1	cplex	3	4208	3958573516466	1889444	1883136
80	-1	cplex	4	4208	8523508103404	4705944	4700104
80	-1	cplex	5	4208	14442986214170	8141584	8136272
80	-1	cplex	6	4208	16528088878614	9597660	9592516
80	-1	cplex	7	4208	18907923420434	10960304	10955460
80	-1	cplex	8	4208	19534806261411	11400036	11395252
80	-1	cplex	9	4208	20140690676050	11828072	11823468
