#Activity: PAX_Model_Final::PAX::DetailedDesign::SRC::DAL_C::PAX::IFE Package::PAX_IFEctrl::PAX_setIFE
#Without boundary value analysis
PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns)	PATHSEARCH_TOTAL_SOLVER_RUNS	PATHSEARCH_INFEASIBLE_PATHS_ELIMINATED
10	-1	lpsolve	2	0	705705893	0	0
20	-1	lpsolve	2	4	338189071	1	0
30	-1	lpsolve	2	56	1751990267	21	52
40	-1	lpsolve	2	104	3799585701	225	280
50	-1	lpsolve	2	248	10364398547	1221	1492
60	-1	lpsolve	2	536	34762705037	5985	7516
70	-1	lpsolve	2	1568	137567852060	27573	35044
80	-1	lpsolve	2	4208	484238958862	120069	154348
90	-1	lpsolve	2	10736	2092704579492	512145	662404
